expo,table,project,sponsors,link,cortex,et
1,27,Trying Finance,BlackRock - Best use of the Aladdin API,http://mhacks8.devpost.com/submissions/59137-trying-finance,Machine Learning + AI,127
1,28,Debatable Echos,"Amazon Web Services - Best Use of AWS, Amazon - Best Voice User Experience Using Amazon Alexa",http://mhacks8.devpost.com/submissions/59142-debatable-echos,Machine Learning + AI,128
1,29,OrchestrAI,"Best Use of Wolfram Technologies , General Electric - Best IoT hack -- use of sensors, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59160-orchestrai,Machine Learning + AI,129
1,30,Senticon,"Best Domain Name from Domain.com, Facebook - Most Open and Connected App, Amazon - Best Voice User Experience Using Amazon Alexa",http://mhacks8.devpost.com/submissions/59208-senticon,Machine Learning + AI,130
1,31,NeuroCritic,Microsoft - Best use of Microsoft Technology,http://mhacks8.devpost.com/submissions/59227-neurocritic,Machine Learning + AI,131
1,32,Smartpass,"Concur - Best Travel Hack, Microsoft - Best use of Microsoft Technology, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59242-smartpass,Machine Learning + AI,132
1,33,Bot Yourself,Facebook - Most Open and Connected App,http://mhacks8.devpost.com/submissions/59244-bot-yourself,Machine Learning + AI,133
1,34,scrivener.ai,,http://mhacks8.devpost.com/submissions/59258-scrivener-ai,Machine Learning + AI,134
1,35,Tripper,"Esri - Best use of Esri Technology, Linode - Best Use of Linode Services, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58775-tripper,Web,135
1,36,TabSaver,,http://mhacks8.devpost.com/submissions/58780-tabsaver,Web,136
1,37,eXploit,,http://mhacks8.devpost.com/submissions/58867-exploit,Web,137
1,38,CycleSnake,"Facebook - Most Open and Connected App, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58872-cyclesnake,Web,138
1,39,Real-time Chat Room,,http://mhacks8.devpost.com/submissions/58888-real-time-chat-room,Web,139
1,40,MeetMe,Facebook - Most Open and Connected App,http://mhacks8.devpost.com/submissions/58901-meetme,Web,140
1,41,Indie Joe,"Microsoft - Best use of Microsoft Technology, Best Domain Name from Domain.com, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58977-indie-joe,Web,141
1,42,MyVenture,"Microsoft - Best use of Microsoft Technology, Concur - Best Travel Hack, Best Domain Name from Domain.com, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58983-myventure,Web,142
1,43,Rocket League Car Voting App,,http://mhacks8.devpost.com/submissions/58984-rocket-league-car-voting-app,Web,143
1,44,EPantry,,http://mhacks8.devpost.com/submissions/58993-epantry,Web,144
1,45,IntervPrep,Facebook - Most Open and Connected App,http://mhacks8.devpost.com/submissions/58996-intervprep,Web,145
1,46,HackySack,,http://mhacks8.devpost.com/submissions/58998-hackysack,Web,146
1,47,HilarityTrumpton,"Amazon Web Services - Best Use of AWS, Linode - Best Use of Linode Services, Best Domain Name from Domain.com",http://mhacks8.devpost.com/submissions/59001-hilaritytrumpton,Web,147
1,48,Smart Money Manager,"Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Capital One - , Nessie",http://mhacks8.devpost.com/submissions/59007-smart-money-manager,Web,148
1,49,!Safe,"Linode - Best Use of Linode Services, Ford - Best Hack for Go Detroit Challenge, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59012-safe,Web,149
1,50,Mind Invaders,,http://mhacks8.devpost.com/submissions/59018-mind-invaders,Web,150
1,51,FelineFelicity,Amazon Web Services - Best Use of AWS,http://mhacks8.devpost.com/submissions/59047-felinefelicity,Web,151
1,52,Datatrac,"Watch Dog 2 Best Device Privacy Hack, Linode - Best Use of Linode Services",http://mhacks8.devpost.com/submissions/59059-datatrac,Web,152
1,53,Tique,"Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com",http://mhacks8.devpost.com/submissions/59071-tique,Web,153
1,54,NASA API Folio (NAF),"Esri - Best use of Esri Technology, Best Domain Name from Domain.com, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59080-nasa-api-folio-naf,Web,154
1,55,ExpediaBot,"Microsoft - Best use of Microsoft Technology, Concur - Best Travel Hack",http://mhacks8.devpost.com/submissions/59086-expediabot,Web,155
1,56,Safety in Numbers,"#HackHarrassment, Esri - Best use of Esri Technology, Linode - Best Use of Linode Services, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, Best Domain Name from Domain.com, Facebook - Most Open and Connected App, General Electric - Best IoT hack -- use of sensors, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/59088-safety-in-numbers,Web,156
1,57,Let Me Know,"Microsoft - Best use of Microsoft Technology, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59089-let-me-know,Web,157
1,58,The Price is On Target,"Best use of Target's API, Best Domain Name from Domain.com",http://mhacks8.devpost.com/submissions/59093-the-price-is-on-target,Web,158
1,59,Gifioms,,http://mhacks8.devpost.com/submissions/59094-gifioms,Web,159
1,60,Cryptonite,,http://mhacks8.devpost.com/submissions/59111-cryptonite,Web,160
1,61,Motivator,,http://mhacks8.devpost.com/submissions/59112-motivator,Web,161
1,62,Plan Me,Best Domain Name from Domain.com,http://mhacks8.devpost.com/submissions/59113-plan-me,Web,162
1,63,HyperLink,,http://mhacks8.devpost.com/submissions/59114-hyperlink,Web,163
1,64,Sphere of Influence,,http://mhacks8.devpost.com/submissions/59115-sphere-of-influence,Web,164
1,65,Hack Plan,Facebook - Most Open and Connected App,http://mhacks8.devpost.com/submissions/59121-hack-plan,Web,165
1,66,Node Clowning Around,"Microsoft - Best use of Microsoft Technology, Best Domain Name from Domain.com, Facebook - Most Open and Connected App, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59127-node-clowning-around,Web,166
1,67,Ruffian,,http://mhacks8.devpost.com/submissions/59130-ruffian,Web,#REF!
1,68,Pew,Microsoft - Best use of Microsoft Technology,http://mhacks8.devpost.com/submissions/59133-pew,Web,167
1,69,realTalk,,http://mhacks8.devpost.com/submissions/59141-realtalk,Web,168
1,70,ShareAuto,"Wellopp - Best Wellness App or Game, General Electric - Best IoT hack -- use of sensors, Best Domain Name from Domain.com, Esri - Best use of Esri Technology, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59145-shareauto,Web,169
1,71,Until After,"Wellopp - Best Wellness App or Game, Best Domain Name from Domain.com",http://mhacks8.devpost.com/submissions/59152-until-after,Web,170
1,72,Joyride,"Wellopp - Best Wellness App or Game, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59157-joyride,Web,171
1,73,SafeNav,"Esri - Best use of Esri Technology, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59162-safenav,Web,172
1,74,Ikran,"Microsoft - Best use of Microsoft Technology, Capital One - , Amazon Web Services - Best Use of AWS, Amazon - Best Voice User Experience Using Amazon Alexa",http://mhacks8.devpost.com/submissions/59166-ikran,Web,173
1,75,Link Blue,#HackHarrassment,http://mhacks8.devpost.com/submissions/59179-link-blue,Web,174
1,76,Car Pool,"Facebook - Most Open and Connected App, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59181-car-pool,Web,175
1,77,VariationComposer,,http://mhacks8.devpost.com/submissions/59189-variationcomposer,Web,176
1,78,ChennieBot,"Facebook - Most Open and Connected App, Amazon Web Services - Best Use of AWS, Concur - Best Travel Hack",http://mhacks8.devpost.com/submissions/59190-chenniebot,Web,177
1,79,Proquestination.,"Wellopp - Best Wellness App or Game, Best Domain Name from Domain.com, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59206-proquestination,Web,178
1,80,Parkcore,"Facebook - Most Open and Connected App, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59207-parkcore,Web,179
1,81,Debatisms,,http://mhacks8.devpost.com/submissions/59212-debatisms,Web,180
1,82,ParkGreen - Encouraging Detroit to Carpool,"Linode - Best Use of Linode Services, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59213-parkgreen-encouraging-detroit-to-carpool,Web,181
1,83,Cards Against Aladdin,BlackRock - Best use of the Aladdin API,http://mhacks8.devpost.com/submissions/59214-cards-against-aladdin,Web,182
1,84,SoundLens,"Microsoft - Best use of Microsoft Technology, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59216-soundlens,Web,183
1,85,Workify,"Best Domain Name from Domain.com, Capital One - , Amazon - Best Voice User Experience Using Amazon Alexa",http://mhacks8.devpost.com/submissions/59217-workify,Web,184
1,86,The Phishing Net - thephishing.net,Best Domain Name from Domain.com,http://mhacks8.devpost.com/submissions/59228-the-phishing-net-thephishing-net,Web,185
1,87,Alexa Portfolio Manager,"BlackRock - Best use of the Aladdin API, Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS, Amazon - Best Voice User Experience Using Amazon Alexa",http://mhacks8.devpost.com/submissions/59231-alexa-portfolio-manager,Web,186
1,88,Addle,"Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS, Microsoft - Best use of Microsoft Technology",http://mhacks8.devpost.com/submissions/59232-addle,Web,187
1,89,Echo,"#HackHarrassment, Linode - Best Use of Linode Services, Watch Dog 2 Best Device Privacy Hack, Microsoft - Best use of Microsoft Technology",http://mhacks8.devpost.com/submissions/59241-echo,Web,188
1,90,Einstein,"Watch Dog 2 Best Device Privacy Hack, Amazon Web Services - Best Use of AWS, Amazon - Best Voice User Experience Using Amazon Alexa, Facebook - Most Open and Connected App, Microsoft - Best use of Microsoft Technology, General Electric - Best IoT hack -- use of sensors",http://mhacks8.devpost.com/submissions/59245-einstein,Web,189
1,91,PassTap,Watch Dog 2 Best Device Privacy Hack,http://mhacks8.devpost.com/submissions/58813-passtap,web,191
1,92,SeeSaw,"Microsoft - Best use of Microsoft Technology, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58821-seesaw,web,192
1,112,Feed the lovely car,"Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59119-feed-the-lovely-car,Mobility,1112
1,113,SmartShare (GMHardwareBayside),"General Motors - Most badass in-vehicle idea, Linode - Best Use of Linode Services, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, Facebook - Most Open and Connected App, General Electric - Best IoT hack -- use of sensors, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58883-smartshare-gmhardwarebayside,Mobility,1113
1,114,CarSavior,"Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59131-carsavior,Detroit,1114
1,115,Drunk Detector,"Microsoft - Best use of Microsoft Technology, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59203-drunk-detector,Web,1115
1,127,SafeRoute,"Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59247-saferoute,Mobility,1127
1,128,GM DrivePrint,"Watch Dog 2 Best Device Privacy Hack, Best Use of Wolfram Technologies , Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59103-gm-driveprint,Machine Learning + AI,1128
1,130,GM Remote Dev - Detroit Labs Bench,General Motors - Most badass in-vehicle idea,http://mhacks8.devpost.com/submissions/59134-gm-remote-dev-detroit-labs-bench,Hardware,1130
1,3rd floor,mhacks-8-space-shooter,,http://mhacks8.devpost.com/submissions/58803-mhacks-8-space-shooter,AR/VR,13rd floor
1,3rd floor,Project Tennis,"Microsoft - Best use of Microsoft Technology, Amazon - Best Voice User Experience Using Amazon Alexa, Facebook - Most Open and Connected App, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58830-project-tennis,AR/VR,13rd floor
1,3rd floor,Shelf VR,"Best Domain Name from Domain.com, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58860-shelf-vr,AR/VR,13rd floor
1,3rd floor,AnimateVR,,http://mhacks8.devpost.com/submissions/58916-animatevr,AR/VR,13rd floor
1,3rd floor,DETPM,"General Motors - Most badass in-vehicle idea, Ford - Best Hack for Go Detroit Challenge, Best Domain Name from Domain.com, General Electric - Best IoT hack -- use of sensors, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/59042-detpm,AR/VR,13rd floor
1,3rd floor,AirTunes,Microsoft - Best use of Microsoft Technology,http://mhacks8.devpost.com/submissions/59066-airtunes,AR/VR,13rd floor
1,3rd floor,VR Museum,"Amazon Web Services - Best Use of AWS, Microsoft - Best use of Microsoft Technology, Best Domain Name from Domain.com",http://mhacks8.devpost.com/submissions/59097-vr-museum,AR/VR,13rd floor
1,3rd floor,Vivace,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59104-vivace,AR/VR,13rd floor
1,3rd floor,SubtitlesIRL,Microsoft - Best use of Microsoft Technology,http://mhacks8.devpost.com/submissions/59124-subtitlesirl,AR/VR,13rd floor
1,3rd floor,Travel Lens,"Microsoft - Best use of Microsoft Technology, Concur - Best Travel Hack",http://mhacks8.devpost.com/submissions/59140-travel-lens,AR/VR,13rd floor
1,3rd floor,mFrame,Best Domain Name from Domain.com,http://mhacks8.devpost.com/submissions/59177-mframe,AR/VR,13rd floor
2,1,TranSafe,"Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, Best Domain Name from Domain.com",http://mhacks8.devpost.com/submissions/58733-transafe,Detroit,21
2,2,Park With Me," General Motors - Most badass in-vehicle idea, Microsoft - Best use of Microsoft Technology, Ford - Best Hack for Go Detroit Challenge, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58776-park-with-me,Detroit,22
2,3,Minerva,"#HackHarrassment, Microsoft - Best use of Microsoft Technology, Facebook - Most Open and Connected App, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58878-minerva,Detroit,23
2,4,YouResearch,"#HackHarrassment, Microsoft - Best use of Microsoft Technology, Best Domain Name from Domain.com, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58889-youresearch,Detroit,24
2,5,TranSafe,"Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, Best Domain Name from Domain.com, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58958-transafe,Detroit,25
2,6,Detrite,"Ford - Best Hack for Go Detroit Challenge, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58978-detrite,Detroit,26
2,7,Know Your Detroit,Ford - Best Hack for Go Detroit Challenge,http://mhacks8.devpost.com/submissions/58994-know-your-detroit,Detroit,27
2,8,connect-detroit,"Esri - Best use of Esri Technology, Microsoft - Best use of Microsoft Technology, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59030-connect-detroit,Detroit,28
2,9,Housemate,Facebook - Most Open and Connected App,http://mhacks8.devpost.com/submissions/59048-housemate,Detroit,29
2,10,Cognizant,"Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59079-cognizant,Detroit,210
2,11,Bus Buddy,"Linode - Best Use of Linode Services, Capital One - , Ford - Best Hack for Go Detroit Challenge, Best Domain Name from Domain.com, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59098-bus-buddy,Detroit,211
2,12,Monopoly GO!,,http://mhacks8.devpost.com/submissions/59110-monopoly-go,Detroit,212
2,13,BurritoBuddy,,http://mhacks8.devpost.com/submissions/59123-burritobuddy,Detroit,213
2,14,Detroit SafeWalk,Ford - Best Hack for Go Detroit Challenge,http://mhacks8.devpost.com/submissions/59156-detroit-safewalk,Detroit,214
2,15,Blackjack Web Game,,http://mhacks8.devpost.com/submissions/59184-blackjack-web-game,Detroit,215
2,16,Met.ro: An Alternative Bus Ticketing Service,"#HackHarrassment, Linode - Best Use of Linode Services, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59186-met-ro-an-alternative-bus-ticketing-service,Detroit,216
2,17,MiDetroit,Ford - Best Hack for Go Detroit Challenge,http://mhacks8.devpost.com/submissions/59188-midetroit,Detroit,217
2,18,Bus Buddies,"Linode - Best Use of Linode Services, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59198-bus-buddies,Detroit,218
2,19,Augry,"Microsoft - Best use of Microsoft Technology, Facebook - Most Open and Connected App, Amazon Web Services - Best Use of AWS, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59199-augry,Detroit,219
2,20,Detroit Student Transit,Ford - Best Hack for Go Detroit Challenge,http://mhacks8.devpost.com/submissions/58820-detroit-student-transit,Mobile,220
2,21,Prescription Trackr,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/58824-prescription-trackr,Mobile,221
2,22,Scroller 3D,,http://mhacks8.devpost.com/submissions/58837-scroller-3d,Mobile,222
2,23,Scenic Routes,,http://mhacks8.devpost.com/submissions/58873-scenic-routes,Mobile,223
2,24,MATA,,http://mhacks8.devpost.com/submissions/58891-mata,Mobile,224
2,25,DriveMom,"General Motors - Most badass in-vehicle idea, Linode - Best Use of Linode Services, Ford - Best Hack for Go Detroit Challenge, General Electric - Best IoT hack -- use of sensors",http://mhacks8.devpost.com/submissions/58906-drivemom,Mobile,225
2,26,Detrostrat,"Ford - Best Hack for Go Detroit Challenge, Facebook - Most Open and Connected App, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58954-detrostrat,Mobile,226
2,27,ContactMe,,http://mhacks8.devpost.com/submissions/58960-contactme,Mobile,227
2,28,Rebuild,,http://mhacks8.devpost.com/submissions/58969-rebuild,Mobile,228
2,29,Twitch Plays Battle Bots,"Facebook - Most Open and Connected App, General Electric - Best IoT hack -- use of sensors",http://mhacks8.devpost.com/submissions/59008-twitch-plays-battle-bots,Mobile,229
2,30,Hackaface,,http://mhacks8.devpost.com/submissions/59016-hackaface,Mobile,230
2,31,Big Belly,"Best use of Target's API, Amazon Web Services - Best Use of AWS, Concur - Best Travel Hack, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59025-big-belly,Mobile,231
2,32,Medication Alert,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59051-medication-alert,Mobile,232
2,33,Health Noodle,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59067-health-noodle,Mobile,233
2,34,ParkD - Your Detroit Parking Assistant,"Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59109-parkd-your-detroit-parking-assistant,Mobile,234
2,35,piL,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59117-pil,Mobile,235
2,36,Offlow,"Watch Dog 2 Best Device Privacy Hack, Best use of Target's API, Best Use of Wolfram Technologies , Microsoft - Best use of Microsoft Technology, Amazon - Best Voice User Experience Using Amazon Alexa",http://mhacks8.devpost.com/submissions/59122-offlow,Mobile,236
2,37,<h1>Hello World</h1>,"Best Use of Wolfram Technologies , Concur - Best Travel Hack",http://mhacks8.devpost.com/submissions/59139-h1-hello-world-h1,Mobile,237
2,38,Satellite Info,,http://mhacks8.devpost.com/submissions/59146-satellite-info,Mobile,238
2,39,jons car,"General Electric - Best IoT hack -- use of sensors, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59149-jons-car,Mobile,239
2,40,Truquire,Best Domain Name from Domain.com,http://mhacks8.devpost.com/submissions/59153-truquire,Mobile,240
2,41,MHacks2016,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59165-mhacks2016,Mobile,241
2,42,VVoRld,"General Electric - Best IoT hack -- use of sensors, Microsoft - Best use of Microsoft Technology",http://mhacks8.devpost.com/submissions/59174-vvorld,Mobile,242
2,43,Decur- The Intelligent Investor,"BlackRock - Best use of the Aladdin API, Best Domain Name from Domain.com",http://mhacks8.devpost.com/submissions/59175-decur-the-intelligent-investor,Mobile,243
2,44,CafTrac,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59176-caftrac,Mobile,244
2,45,Hack CS,,http://mhacks8.devpost.com/submissions/59178-hack-cs,Mobile,245
2,46,Nemesis,,http://mhacks8.devpost.com/submissions/59185-nemesis,Mobile,246
2,47,Size It Up!,,http://mhacks8.devpost.com/submissions/59196-size-it-up,Mobile,247
2,48,Passenger,,http://mhacks8.devpost.com/submissions/59197-passenger,Mobile,248
2,49,mhk8,Ford - Best Hack for Go Detroit Challenge,http://mhacks8.devpost.com/submissions/59200-mhk8,Mobile,249
2,50,carpool,Amazon Web Services - Best Use of AWS,http://mhacks8.devpost.com/submissions/59205-carpool,Mobile,250
2,51,Restaurhunt,Facebook - Most Open and Connected App,http://mhacks8.devpost.com/submissions/59218-restaurhunt,Mobile,251
2,52,From for iOS,,http://mhacks8.devpost.com/submissions/59219-from-for-ios,Mobile,252
2,53,"TranSafe, A Real Slim Safety App",Ford - Best Hack for Go Detroit Challenge,http://mhacks8.devpost.com/submissions/59235-transafe-a-real-slim-safety-app,Mobile,253
2,54,SafeTrip,"General Motors - Most badass in-vehicle idea, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, General Electric - Best IoT hack -- use of sensors",http://mhacks8.devpost.com/submissions/58743-safetrip,Mobility,254
2,55,Bargent,Capital One - ,http://mhacks8.devpost.com/submissions/58908-bargent,Mobility,255
2,56,Tim,"Linode - Best Use of Linode Services, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59003-tim,Mobility,256
2,57,Gassed,"General Motors - Most badass in-vehicle idea, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59014-gassed,Mobility,257
2,58,Internodes,"Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59099-internodes,Mobility,258
2,59,Galaxy Explorer,Facebook - Most Open and Connected App,http://mhacks8.devpost.com/submissions/59116-galaxy-explorer,Mobility,259
2,60,Fleet.xyz,"Microsoft - Best use of Microsoft Technology, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59129-fleet-xyz,Mobility,260
2,61,ParkMe,,http://mhacks8.devpost.com/submissions/59159-parkme,Mobility,261
2,62,Portfolio Risk-Bot,"BlackRock - Best use of the Aladdin API, Microsoft - Best use of Microsoft Technology, Amazon Web Services - Best Use of AWS",http://mhacks8.devpost.com/submissions/59202-portfolio-risk-bot,Mobility,262
2,63,Conservus,"Esri - Best use of Esri Technology, Linode",http://mhacks8.devpost.com/submissions/59238-conservus,Mobility,263
